trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,6,-60.76248745405058,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-64.41444359839524,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",25,0,-126.29809015321358,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-153.7903672967998,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,0,-289.5307618003231,"{0: 12, 1: 1, 2: 12, 3: 1, 4: 4}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",25,0,-225.9247954806721,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-119.24752679741138,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-108.30454523322345,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-70.17828713431496,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-195.2958174692113,"{0: 8, 1: 2, 2: 4, 3: 4, 4: 2}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-106.34440560639439,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-296.7192675546344,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 5}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,15,2.5776200828119133,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",30,0,-159.04457334831696,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-146.8134819554482,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-93.27437696385472,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-49.58450581354257,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",35,0,-340.26403229017416,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 6}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",30,0,-212.29781458708507,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-86.93178846652249,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,0,-97.24337323454303,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",25,6,-68.1306989615721,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-240.03203701483554,"{0: 6, 1: 5, 2: 4, 3: 1, 4: 4}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",30,0,-129.15773428446144,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",30,0,-206.32897394068382,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-76.28531505518488,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-109.46457085328454,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",30,0,-152.47385204828782,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-117.14964061234204,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-39.00985758260107,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",30,0,-192.84923133762751,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",25,0,-113.2188099148856,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",25,0,-197.75283483756715,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",25,0,-110.7731882967949,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",35,0,-179.59268042041867,"{0: 24, 1: 0, 2: 7, 3: 1, 4: 3}",0
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",35,0,-102.98944302741356,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",20,8,1.984537873149259,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",30,0,-124.00065899197782,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",30,0,-145.1695911189679,"{0: 12, 1: 7, 2: 10, 3: 1, 4: 0}",0
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",25,0,-63.5482563147602,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",20,0,-77.28229050954575,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",30,0,-76.87180656094581,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",25,10,-45.55729234497469,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",25,5,-160.78996903747344,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-83.00677080062987,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",20,0,-88.66757281335099,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",35,0,-188.55706945597555,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
