trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.42785081338782,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.99094490554214,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.66329289960487,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.27950608695098,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.99428346343598,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.06871716037116,"{0: 12, 1: 6, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.84492717500882,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.28964196132446,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,2,-68.30444201131684,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,13,-58.44397164238752,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.73226310453335,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.38853338048686,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,14,-28.871753458971853,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,2,-93.4699909780866,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.8737397938017,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-53.63712133095289,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.19402291241243,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.0372950328194,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.193503511035416,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.0484992127297,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.26218407064177,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-90.01172336682265,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.26123903507279,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-30.084648616502882,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.61184734672962,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.0320059171929,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.96689225094589,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.56692243713428,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.781778019081194,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.06540955026075,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
